item_id,bio,critical,name,gender,life_status,type,tense,mm,list,match,bare,Unique_ID
2,Richard Nixon was an American politician. He died in New York.,"He*has appeared*in prominent*political debates*in the past,*supposedly.",Richard Nixon,male,dead,critical,PP,deadPP,1,no,appear,12111
2,Richard Nixon was an American politician. He died in New York.,"He*will appear*in prominent*political debates*in the future,*supposedly.",Richard Nixon,male,dead,critical,SF,deadSF,2,no,appear,12122
2,Justin Trudeau is a Canadian politician. He lives in Ottawa.,"He*has appeared*in prominent*political debates*in the past,*supposedly.",Justin Trudeau,male,living,critical,PP,livingPP,3,yes,appear,12013
2,Justin Trudeau is a Canadian politician. He lives in Ottawa.,"He*will appear*in prominent*political debates*in the future,*supposedly.",Justin Trudeau,male,living,critical,SF,livingSF,4,yes,appear,12024
3,Shakira is a Colombian singer. She lives in Barcelona.,"She*will appear*in popular*music videos*in the future,*supposedly.",Shakira,female,living,critical,SF,livingSF,1,yes,appear,13021
3,Shakira is a Colombian singer. She lives in Barcelona.,"She*has appeared*in popular*music videos*in the past,*supposedly.",Shakira,female,living,critical,PP,livingPP,2,yes,appear,13012
3,Whitney Houston was an American singer. She died in Beverly Hills.,"She*will appear*in popular*music videos*in the future,*supposedly.",Whitney Houston,female,dead,critical,SF,deadSF,3,no,appear,13123
3,Whitney Houston was an American singer. She died in Beverly Hills.,"She*has appeared*in popular*music videos*in the past,*supposedly.",Whitney Houston,female,dead,critical,PP,deadPP,4,no,appear,13114
10,Jimi Hendrix was an American musician. He died in London.,"He*has performed*in numerous*music festivals*in the past,*supposedly.",Jimi Hendrix,male,dead,critical,PP,deadPP,1,no,perform,110111
10,Jimi Hendrix was an American musician. He died in London.,"He*will perform*in numerous*music festivals*in the future,*supposedly.",Jimi Hendrix,male,dead,critical,SF,deadSF,2,no,perform,110122
10,Elton John is an English musician. He lives in Windsor.,"He*has performed*in numerous*music festivals*in the past,*supposedly.",Elton John,male,living,critical,PP,livingPP,3,yes,perform,110013
10,Elton John is an English musician. He lives in Windsor.,"He*will perform*in numerous*music festivals*in the future,*supposedly.",Elton John,male,living,critical,SF,livingSF,4,yes,perform,110024
13,Beyoncé is an American singer. She lives in Los Angeles.,"She*has performed*in prestigious*arenas*in the past,*supposedly.",Beyoncé,female,living,critical,PP,livingPP,1,yes,perform,113011
13,Beyoncé is an American singer. She lives in Los Angeles.,"She*will perform*in prestigious*arenas*in the future,*supposedly.",Beyoncé,female,living,critical,SF,livingSF,2,yes,perform,113022
13,Amy Winehouse was a British singer. She died in London.,"She*has performed*in prestigious*arenas*in the past,*supposedly.",Amy Winehouse,female,dead,critical,PP,deadPP,3,no,perform,113113
13,Amy Winehouse was a British singer. She died in London.,"She*will perform*in prestigious*arenas*in the future,*supposedly.",Amy Winehouse,female,dead,critical,SF,deadSF,4,no,perform,113124
22,David Bowie was a British singer. He died in New York.,"He*has played*numerous*concerts*in the past,*so it's said.",David Bowie,male,dead,critical,PP,deadPP,1,no,play,122111
22,David Bowie was a British singer. He died in New York.,"He*will play*numerous*concerts*in the future,*so it's said.",David Bowie,male,dead,critical,SF,deadSF,2,no,play,122122
22,Mick Jagger is a British singer. He lives in London.,"He*has played*numerous*concerts*in the past,*so it's said.",Mick Jagger,male,living,critical,PP,livingPP,3,yes,play,122013
22,Mick Jagger is a British singer. He lives in London.,"He*will play*numerous*concerts*in the future,*so it's said.",Mick Jagger,male,living,critical,SF,livingSF,4,yes,play,122024
23,Janet Jackson is an American singer. She lives in Los Angeles.,"She*will play*in numerous*packed arenas*in the future,*so it's said.",Janet Jackson,female,living,critical,SF,livingSF,1,yes,play,123021
23,Janet Jackson is an American singer. She lives in Los Angeles.,"She*has played*in numerous*packed arenas*in the past,*so it's said.",Janet Jackson,female,living,critical,PP,livingPP,2,yes,play,123012
23,Janis Joplin was an American singer. She died in Los Angeles.,"She*will play*in numerous*packed arenas*in the future,*so it's said.",Janis Joplin,female,dead,critical,SF,deadSF,3,no,play,123123
23,Janis Joplin was an American singer. She died in Los Angeles.,"She*has played*in numerous*packed arenas*in the past,*so it's said.",Janis Joplin,female,dead,critical,PP,deadPP,4,no,play,123114
28,Sir Christopher Lee was a British actor. He died in London.,"He*will receive*prestigious*acting awards*in the future,*so it's said.",Sir Christopher Lee,male,dead,critical,SF,deadSF,1,no,receive,128121
28,Sir Christopher Lee was a British actor. He died in London.,"He*has received*prestigious*acting awards*in the past,*so it's said.",Sir Christopher Lee,male,dead,critical,PP,deadPP,2,no,receive,128112
28,Benedict Cumberbatch is a British actor. He lives in London.,"He*will receive*prestigious*acting awards*in the future,*so it's said.",Benedict Cumberbatch,male,living,critical,SF,livingSF,3,yes,receive,128023
28,Benedict Cumberbatch is a British actor. He lives in London.,"He*has received*prestigious*acting awards*in the past,*so it's said.",Benedict Cumberbatch,male,living,critical,PP,livingPP,4,yes,receive,128014
31,Malala is a Pakistani activist. She lives in Birmingham.,"She*will receive*prestigious*activism awards*in the future,*so it's said.",Malala,female,living,critical,SF,livingSF,1,yes,receive,131021
31,Malala is a Pakistani activist. She lives in Birmingham.,"She*has received*prestigious*activism awards*in the past,*so it's said.",Malala,female,living,critical,PP,livingPP,2,yes,receive,131012
31,Mother Teresa was an Albanian-Indian missionary. She died in Kolkata.,"She*will receive*prestigious*activism awards*in the future,*so it's said.",Mother Teresa,female,dead,critical,SF,deadSF,3,no,receive,131123
31,Mother Teresa was an Albanian-Indian missionary. She died in Kolkata.,"She*has received*prestigious*activism awards*in the past,*so it's said.",Mother Teresa,female,dead,critical,PP,deadPP,4,no,receive,131114
35,Meryl Streep is an American actor. She lives in Conneticut.,"She*will release*well-received*movies*in the future,*so it's said.",Meryl Streep,female,living,critical,SF,livingSF,1,yes,release,135021
35,Meryl Streep is an American actor. She lives in Conneticut.,"She*has released*well-received*movies*in the past,*so it's said.",Meryl Streep,female,living,critical,PP,livingPP,2,yes,release,135012
35,Romy Schneider was an Austrian actor. She died in Paris.,"She*will release*well-received*movies*in the future,*so it's said.",Romy Schneider,female,dead,critical,SF,deadSF,3,no,release,135123
35,Romy Schneider was an Austrian actor. She died in Paris.,"She*has released*well-received*movies*in the past,*so it's said.",Romy Schneider,female,dead,critical,PP,deadPP,4,no,release,135114
39,J.K. Rowling is a British author. She lives in Scotland.,"She*will release*critically acclaimed*novels*in the future,*so it's said.",J.K. Rowling,female,living,critical,SF,livingSF,1,yes,release,139021
39,J.K. Rowling is a British author. She lives in Scotland.,"She*has released*critically acclaimed*novels*in the past,*so it's said.",J.K. Rowling,female,living,critical,PP,livingPP,2,yes,release,139012
39,Agatha Christie was a British author. She died in Oxfordshire.,"She*will release*critically acclaimed*novels*in the future,*so it's said.",Agatha Christie,female,dead,critical,SF,deadSF,3,no,release,139123
39,Agatha Christie was a British author. She died in Oxfordshire.,"She*has released*critically acclaimed*novels*in the past,*so it's said.",Agatha Christie,female,dead,critical,PP,deadPP,4,no,release,139114
42,Mark Twain was an American author. He died in Connecticut.,"He*has sold*well-received*novels*in the past,*no doubt.",Mark Twain,male,dead,critical,PP,deadPP,1,no,sell,142111
42,Mark Twain was an American author. He died in Connecticut.,"He*will sell*well-received*novels*in the future,*no doubt.",Mark Twain,male,dead,critical,SF,deadSF,2,no,sell,142122
42,George R.R. Martin is an American author. He lives in Santa Fe.,"He*has sold*well-received*novels*in the past,*no doubt.",George R.R. Martin,male,living,critical,PP,livingPP,3,yes,sell,142013
42,George R.R. Martin is an American author. He lives in Santa Fe.,"He*will sell*well-received*novels*in the future,*no doubt.",George R.R. Martin,male,living,critical,SF,livingSF,4,yes,sell,142024
45,Kendrick Lamar is an American singer. He lives in Los Angeles.,"He*has sold*popular*records*in the past,*no doubt.",Kendrick Lamar,male,living,critical,PP,livingPP,1,yes,sell,145011
45,Kendrick Lamar is an American singer. He lives in Los Angeles.,"He*will sell*popular*records*in the future,*no doubt.",Kendrick Lamar,male,living,critical,SF,livingSF,2,yes,sell,145022
45,Prince was an American singer. He died in Minnesota.,"He*has sold*popular*records*in the past,*no doubt.",Prince,male,dead,critical,PP,deadPP,3,no,sell,145113
45,Prince was an American singer. He died in Minnesota.,"He*will sell*popular*records*in the future,*no doubt.",Prince,male,dead,critical,SF,deadSF,4,no,sell,145124
49,Brad Pitt is an American actor. He lives in Los Angeles.,"He*has starred*in critically acclaimed*film productions*in the past,*no doubt.",Brad Pitt,male,living,critical,PP,livingPP,1,yes,star,149011
49,Brad Pitt is an American actor. He lives in Los Angeles.,"He*will star*in critically acclaimed*film productions*in the future,*no doubt.",Brad Pitt,male,living,critical,SF,livingSF,2,yes,star,149022
49,Jimmy Stewart was an American actor. He died in Beverly Hills.,"He*has starred*in critically acclaimed*film productions*in the past,*no doubt.",Jimmy Stewart,male,dead,critical,PP,deadPP,3,no,star,149113
49,Jimmy Stewart was an American actor. He died in Beverly Hills.,"He*will star*in critically acclaimed*film productions*in the future,*no doubt.",Jimmy Stewart,male,dead,critical,SF,deadSF,4,no,star,149124
54,Alan Rickman was a British actor. He died in London.,"He*has starred*in well-received*dramas*in the past,*no doubt.",Alan Rickman,male,dead,critical,PP,deadPP,1,no,star,154111
54,Alan Rickman was a British actor. He died in London.,"He*will star*in well-received*dramas*in the future,*no doubt.",Alan Rickman,male,dead,critical,SF,deadSF,2,no,star,154122
54,Denzel Washington is an American actor. He lives in Los Angeles.,"He*has starred*in well-received*dramas*in the past,*no doubt.",Denzel Washington,male,living,critical,PP,livingPP,3,yes,star,154013
54,Denzel Washington is an American actor. He lives in Los Angeles.,"He*will star*in well-received*dramas*in the future,*no doubt.",Denzel Washington,male,living,critical,SF,livingSF,4,yes,star,154024
57,Vladimir Putin is a Russian politician. He lives near Moscow.,"He*has won*important*elections*in the past,*no doubt.",Vladimir Putin,male,living,critical,PP,livingPP,1,yes,win,157011
57,Vladimir Putin is a Russian politician. He lives near Moscow.,"He*will win*important*elections*in the future,*no doubt.",Vladimir Putin,male,living,critical,SF,livingSF,2,yes,win,157022
57,"Abraham Lincoln was an American politician. He died in Washington, D.C..","He*has won*important*elections*in the past,*no doubt.",Abraham Lincoln,male,dead,critical,PP,deadPP,3,no,win,157113
57,"Abraham Lincoln was an American politician. He died in Washington, D.C..","He*will win*important*elections*in the future,*no doubt.",Abraham Lincoln,male,dead,critical,SF,deadSF,4,no,win,157124
63,Jacinda Ardern is a New Zealand politician. She lives in Wellington.,"She*will win*well-deserved*re-elections*in the future,*apparently.",Jacinda Arden,female,living,critical,SF,livingSF,1,yes,win,163021
63,Jacinda Ardern is a New Zealand politician. She lives in Wellington.,"She*has won*well-deserved*re-elections*in the past,*apparently.",Jacinda Arden,female,living,critical,PP,livingPP,2,yes,win,163012
63,Margaret Thatcher was a British politician. She died in London.,"She*will win*well-deserved*re-elections*in the future,*apparently.",Margaret Thatcher,female,dead,critical,SF,deadSF,3,no,win,163123
63,Margaret Thatcher was a British politician. She died in London.,"She*has won*well-deserved*re-elections*in the past,*apparently.",Margaret Thatcher,female,dead,critical,PP,deadPP,4,no,win,163114
65,Steven Spielberg is an American director. He lives in Los Angeles.,"He*has written*important*box office hits*in the past,*apparently.",Steven Spielberg,male,living,critical,PP,livingPP,1,yes,write,165011
65,Steven Spielberg is an American director. He lives in Los Angeles.,"He*will write*important*box office hits*in the future,*apparently.",Steven Spielberg,male,living,critical,SF,livingSF,2,yes,write,165022
65,Alfred Hitchcock was a British director. He died in Los Angeles.,"He*has written*important*box office hits*in the past,*apparently.",Alfred Hitchcock,male,dead,critical,PP,deadPP,3,no,write,165113
65,Alfred Hitchcock was a British director. He died in Los Angeles.,"He*will write*important*box office hits*in the future,*apparently.",Alfred Hitchcock,male,dead,critical,SF,deadSF,4,no,write,165124
68,John Lennon was a British singer. He died in New York.,"He*will write*well-known*folk songs*in the future,*apparently.",John Lennon,male,dead,critical,SF,deadSF,1,no,write,168121
68,John Lennon was a British singer. He died in New York.,"He*has written*well-known*folk songs*in the past,*apparently.",John Lennon,male,dead,critical,PP,deadPP,2,no,write,168112
68,Paul McCartney is a British singer. He lives in New York.,"He*will write*well-known*folk songs*in the future,*apparently.",Paul McCartney,male,living,critical,SF,livingSF,3,yes,write,168023
68,Paul McCartney is a British singer. He lives in New York.,"He*has written*well-known*folk songs*in the past,*apparently.",Paul McCartney,male,living,critical,PP,livingPP,4,yes,write,168014
76,Winston Churchill was a British politician. He died in London.,"He*will work*with important*world leaders*in the future,*apparently.",Winston Churchill,male,dead,critical,SF,deadSF,1,no,work,176121
76,Winston Churchill was a British politician. He died in London.,"He*has worked*with important*world leaders*in the past,*apparently.",Winston Churchill,male,dead,critical,PP,deadPP,2,no,work,176112
76,Silvio Berlusconi is an Italian politician. He lives in Arcore.,"He*will work*with important*world leaders*in the future,*apparently.",Silvio Berlusconi,male,living,critical,SF,livingSF,3,yes,work,176023
76,Silvio Berlusconi is an Italian politician. He lives in Arcore.,"He*has worked*with important*world leaders*in the past,*apparently.",Silvio Berlusconi,male,living,critical,PP,livingPP,4,yes,work,176014
80,Princess Diana was a British royal. She died in Paris.,"She*will work*with important*charities*in the future,*apparently.",Princess Diana,female,dead,critical,SF,deadSF,1,no,work,180121
80,Princess Diana was a British royal. She died in Paris.,"She*has worked*with important*charities*in the past,*apparently.",Princess Diana,female,dead,critical,PP,deadPP,2,no,work,180112
80,Kate Middleton is a British royal. She lives in London.,"She*will work*with important*charities*in the future,*apparently.",Kate Middleton,female,living,critical,SF,livingSF,3,yes,work,180023
80,Kate Middleton is a British royal. She lives in London.,"She*has worked*with important*charities*in the past,*apparently.",Kate Middleton,female,living,critical,PP,livingPP,4,yes,work,180014
